id,stockout_days,lost_units,total_demand,fill_rate,avg_on_hand
FOODS_2_074_CA_1_evaluation,2,1.8293050163411024,120.0,0.9847557915304909,15.128021237744177
FOODS_2_075_CA_1_evaluation,0,0.0,86.0,1.0,9.03237686361052
FOODS_2_076_CA_1_evaluation,0,0.0,14.0,1.0,2.7968787661197436
FOODS_2_077_CA_1_evaluation,1,0.11654848694516673,14.0,0.9916751080753452,4.698302920505412
FOODS_2_078_CA_1_evaluation,0,0.0,0.0,1.0,0.03277220780806201
FOODS_2_079_CA_1_evaluation,0,0.0,21.0,1.0,3.5342144254573293
FOODS_2_080_CA_1_evaluation,0,0.0,0.0,1.0,0.1958388272677191
FOODS_2_081_CA_1_evaluation,1,0.5666379723731652,39.0,0.9854708212212009,5.789307235005837
FOODS_2_082_CA_1_evaluation,4,5.698655531473769,86.0,0.9337365635875143,9.896764688560129
FOODS_2_083_CA_1_evaluation,0,0.0,28.0,1.0,5.695617603425111
FOODS_2_084_CA_1_evaluation,0,0.0,0.0,1.0,0.03277220780806201
